iter	Passed	Remaining
461	764	889
462	765	887
463	766	884
464	767	882
465	768	880
466	769	877
467	770	875
468	771	872
469	772	870
470	772	868
471	773	865
472	774	863
473	776	861
474	777	859
475	778	857
476	779	854
477	780	852
478	781	850
479	782	847
480	783	845
481	784	843
482	785	840
483	786	838
484	787	835
485	788	833
486	789	831
487	790	828
488	791	826
489	792	824
490	793	822
491	794	820
492	795	817
493	796	815
494	797	813
495	798	811
496	799	808
497	800	806
498	800	804
499	801	801
500	802	799
501	803	797
502	804	795
503	805	793
504	806	790
505	807	788
506	808	786
507	809	784
508	811	782
509	812	780
510	813	778
511	814	775
512	815	773
513	816	771
514	817	769
515	818	767
516	819	765
517	820	763
518	821	761
519	822	758
520	823	756
521	824	754
522	825	752
523	826	750
524	827	748
525	828	746
526	829	744
527	830	742
528	831	740
529	832	738
530	833	736
531	834	733
532	835	731
533	836	729
534	837	728
535	839	726
536	840	725
537	841	723
538	843	721
539	843	718
540	845	716
541	846	714
542	846	712
543	847	710
544	848	708
545	849	706
546	850	704
547	852	703
548	854	701
549	855	699
550	856	697
551	857	695
552	858	693
553	859	691
554	860	689
555	861	687
556	862	685
557	863	683
558	864	681
559	865	679
560	866	677
561	867	676
562	869	674
563	870	673
564	872	671
565	873	669
566	874	668
567	875	666
568	876	664
569	877	662
570	879	660
571	880	658
572	881	656
573	882	654
574	884	653
575	885	651
576	886	649
577	887	648
578	888	646
579	889	644
580	890	642
581	891	640
582	893	638
583	894	636
584	895	634
585	896	633
586	897	631
587	898	629
588	899	627
589	900	625
590	901	623
591	902	621
592	903	619
593	904	618
594	905	616
595	906	614
596	907	612
597	908	610
598	909	608
599	911	607
600	913	606
601	914	604
602	915	602
603	916	600
604	917	598
605	918	596
606	919	595
607	919	593
608	920	591
609	921	589
610	922	587
611	923	585
612	924	583
613	925	582
614	926	580
615	928	578
616	929	576
617	930	575
618	931	573
619	932	571
620	933	569
621	934	567
622	935	566
623	936	564
624	937	562
625	938	560
626	939	559
627	940	557
628	942	555
629	943	554
630	944	552
631	945	550
632	946	548
633	947	546
634	948	545
635	949	543
636	950	541
637	951	539
638	952	537
639	953	536
640	954	534
641	955	532
642	956	530
643	957	529
644	958	527
645	959	525
646	960	524
647	961	522
648	962	520
649	963	518
650	964	517
651	965	515
652	966	513
653	967	512
654	968	510
655	970	508
656	971	507
657	972	505
658	973	503
659	974	501
660	975	500
661	976	498
662	977	496
663	977	494
664	978	493
665	979	491
666	980	489
667	981	488
668	982	486
669	983	484
670	985	482
671	986	481
672	987	479
673	988	477
674	989	476
675	990	474
676	991	472
677	992	471
678	993	469
679	994	467
680	995	466
681	996	464
682	997	462
683	998	461
684	999	459
685	1000	457
686	1001	456
687	1002	454
688	1003	452
689	1004	451
690	1005	449
691	1006	448
692	1007	446
693	1008	444
694	1009	443
695	1010	441
696	1012	440
697	1015	439
698	1018	438
699	1021	437
700	1023	436
701	1025	435
702	1027	434
703	1029	432
704	1030	431
705	1032	429
706	1033	428
707	1035	427
708	1036	425
709	1038	424
710	1039	422
711	1040	421
712	1042	419
713	1043	417
714	1044	416
715	1045	414
716	1047	413
717	1048	411
718	1049	410
719	1050	408
720	1051	406
721	1052	405
722	1053	403
723	1054	401
724	1055	400
725	1056	398
726	1057	397
727	1058	395
728	1059	393
729	1060	392
730	1061	390
731	1062	388
732	1062	387
733	1063	385
734	1064	383
735	1065	382
736	1066	380
737	1067	379
738	1068	377
739	1069	375
740	1070	374
741	1071	372
742	1072	370
743	1073	369
744	1074	367
745	1075	366
746	1076	364
747	1077	362
748	1078	361
749	1079	359
750	1080	358
751	1080	356
752	1081	354
753	1082	353
754	1083	351
755	1084	350
756	1085	348
757	1086	346
758	1087	345
759	1088	343
760	1089	342
761	1090	340
762	1091	339
763	1092	337
764	1093	335
